date,Actual Sales,ARIMAX Forecast,Prophet Forecast,LSTM Forecast,XGBoost Forecast,Inventory,Replenishment,Alert
2023-10-01,11345,,95394.14013711191,,,146.80313588850174,0,1
2023-10-08,94174,80796.06709242822,95677.00338201225,,,212.16077650572424,94156,1
2023-10-15,94996,77225.34816711524,97130.93767182103,,,211.715281234445,94199,1
2023-10-22,96094,72316.02699672637,98846.90125725833,,,210.9308113489298,95292,1
2023-10-29,98422,66246.51472687483,100695.77305520776,78228.01791143417,98095.945,208.9691388750622,96368,1
2023-11-05,100347,59198.47882880672,102089.39597077944,96067.12013196947,97631.07,207.37406669985066,98595,1
2023-11-12,103178,51354.0404327272,104768.48513127354,99388.94121122362,101301.05,205.32877053260327,100639,1
2023-11-19,107143,42893.16759439139,108138.26988764464,102742.31866264345,104758.08,201.99925335988053,103663,1
2023-11-26,111027,33991.287279873926,111686.56889489313,105920.72776508331,108811.24,199.0181682429069,107822,1
2023-12-03,114555,24817.13410737383,115108.90034538181,110112.5321931839,113425.82,196.22623195619713,111355,1
2023-12-10,119715,15530.84922619941,120090.31267996387,114798.35745620728,116614.62,192.07366849178695,115444,1
2023-12-17,124474,6282.338201415907,124001.16127946915,116232.16786193848,122175.03,188.04156296665008,120182,1
2023-12-24,128904,-2790.1075386647935,127501.79285705334,119058.75878047943,128440.375,184.4293180686909,125080,1
2023-12-31,133663,-11560.925199301724,131672.6869422941,124736.66429901123,132367.67,180.96217023394723,129846,1
